method,group,mean_monthly_return,cumulative_return,months
accwt,1,-0.061500824264372186,-0.15670001791297994,2
accwt,2,-0.07114710993656925,-0.14057048288407226,2
accwt,3,-0.03192179836922712,-0.06358136653280266,2
accwt,4,0.004230440604349996,0.002178004076452744,2
accwt,5,0.022293420407009983,0.035779101243898825,2
equal,1,-0.06232194448352821,-0.1572551708256109,2
equal,2,-0.07227103034252494,-0.14275369094517198,2
equal,3,-0.030367568100818698,-0.060567052582287007,2
equal,4,0.0023422844401035647,-0.0013430523476805067,2
equal,5,0.02456820227961503,0.040432109600509136,2
gogoal,1,-0.06207184161800457,-0.15847786690385623,2
gogoal,2,-0.06822921761938042,-0.13429708207208502,2
gogoal,3,-0.03639159511758534,-0.07190693025965267,2
gogoal,4,0.004484688424743553,0.003123406766882608,2
gogoal,5,0.024167831936348562,0.039005005612370525,2
