trade_date,method,group,return
2024-05-31,own,1,-0.08066636081198918
2024-05-31,own,2,-0.08187660424551517
2024-05-31,own,3,-0.10571055220423274
2024-05-31,own,4,-0.0958164250814071
2024-05-31,own,5,-0.1034919941955185
2024-05-31,own,high-low,-0.022825633383529317
2024-05-31,gogoal,1,-0.0960629530477432
2024-05-31,gogoal,2,-0.09834071815304486
2024-05-31,gogoal,3,-0.09141733312680059
2024-05-31,gogoal,4,-0.09532119238273583
2024-05-31,gogoal,5,-0.08375787433518138
2024-05-31,gogoal,high-low,0.012305078712561826
2024-06-28,own,1,-0.00960843459649928
2024-06-28,own,2,-0.021324992038817818
2024-06-28,own,3,-0.022244913803507294
2024-06-28,own,4,-0.023723067075350813
2024-06-28,own,5,-0.013707324470103038
2024-06-28,own,high-low,-0.0040988898736037584
2024-06-28,gogoal,1,0.006356661287882345
2024-06-28,gogoal,2,-0.01700337521669626
2024-06-28,gogoal,3,-0.015088693018063521
2024-06-28,gogoal,4,-0.02673056252391327
2024-06-28,gogoal,5,-0.026130338763205935
2024-06-28,gogoal,high-low,-0.03248700005108828
2024-07-31,own,1,-0.061212392744977695
2024-07-31,own,2,-0.05374882504110502
2024-07-31,own,3,-0.04373327922239074
2024-07-31,own,4,-0.045098761058879465
2024-07-31,own,5,-0.04046696005375036
2024-07-31,own,high-low,0.020745432691227333
2024-07-31,gogoal,1,-0.05136870985293569
2024-07-31,gogoal,2,-0.0469202113589553
2024-07-31,gogoal,3,-0.04584824464089983
2024-07-31,gogoal,4,-0.04433115398266319
2024-07-31,gogoal,5,-0.04659245723982374
2024-07-31,gogoal,high-low,0.004776252613111952
2024-08-30,own,1,0.23669237519459999
2024-08-30,own,2,0.23221507141109168
2024-08-30,own,3,0.23079452645081364
2024-08-30,own,4,0.2194100780001179
2024-08-30,own,5,0.22662130933891658
2024-08-30,own,high-low,-0.010071065855683403
2024-08-30,gogoal,1,0.27161227518458375
2024-08-30,gogoal,2,0.22356323334406153
2024-08-30,gogoal,3,0.2234411716265811
2024-08-30,gogoal,4,0.211828979824873
2024-08-30,gogoal,5,0.20594217881534693
2024-08-30,gogoal,high-low,-0.06567009636923682
2024-09-30,own,1,0.06622920320730842
2024-09-30,own,2,0.013517470492990505
2024-09-30,own,3,0.00513749557288495
2024-09-30,own,4,-0.003630081487848531
2024-09-30,own,5,-0.0078471907172157
2024-09-30,own,high-low,-0.07407639392452411
2024-09-30,gogoal,1,0.09836674433364263
2024-09-30,gogoal,2,0.060165368208206414
2024-09-30,gogoal,3,0.015970305073486842
2024-09-30,gogoal,4,-0.011430819489499889
2024-09-30,gogoal,5,-0.02919831622457311
2024-09-30,gogoal,high-low,-0.12756506055821573
2024-10-31,own,1,0.03208184960048558
2024-10-31,own,2,0.03248467990931752
2024-10-31,own,3,0.032221010953188786
2024-10-31,own,4,0.03857223935779778
2024-10-31,own,5,0.036895015270987964
2024-10-31,own,high-low,0.004813165670502384
2024-10-31,gogoal,1,0.05067228943925995
2024-10-31,gogoal,2,0.03918898706267482
2024-10-31,gogoal,3,0.032318331024633884
2024-10-31,gogoal,4,0.03366935047153961
2024-10-31,gogoal,5,0.022867378761197835
2024-10-31,gogoal,high-low,-0.027804910678062116
2024-11-29,own,1,-0.037749096477871544
2024-11-29,own,2,-0.016974037510825275
2024-11-29,own,3,-0.02802898264373259
2024-11-29,own,4,-0.015789046734313417
2024-11-29,own,5,-0.021447360387045658
2024-11-29,own,high-low,0.016301736090825886
2024-11-29,gogoal,1,-0.07657580833797585
2024-11-29,gogoal,2,-0.031777856883924135
2024-11-29,gogoal,3,-0.02667184018769806
2024-11-29,gogoal,4,-0.009143977209568053
2024-11-29,gogoal,5,0.0002977196126401512
2024-11-29,gogoal,high-low,0.076873527950616
2024-12-31,own,1,-0.003153855188263606
2024-12-31,own,2,-0.002506705165011073
2024-12-31,own,3,-0.012591357619795417
2024-12-31,own,4,-0.02463651360286255
2024-12-31,own,5,-0.028347602641483526
2024-12-31,own,high-low,-0.02519374745321992
2024-12-31,gogoal,1,-0.03168397966264064
2024-12-31,gogoal,2,-0.008993474992597167
2024-12-31,gogoal,3,-0.008948357567902692
2024-12-31,gogoal,4,-0.008656926792430297
2024-12-31,gogoal,5,-0.015964003250960986
2024-12-31,gogoal,high-low,0.015719976411679652
2025-01-27,own,1,0.08422789358634959
2025-01-27,own,2,0.07065271965173983
2025-01-27,own,3,0.056348564887741245
2025-01-27,own,4,0.04825735594813467
2025-01-27,own,5,0.035282661241322275
2025-01-27,own,high-low,-0.04894523234502732
2025-01-27,gogoal,1,0.1091024720822039
2025-01-27,gogoal,2,0.08809957720238494
2025-01-27,gogoal,3,0.06430630306050232
2025-01-27,gogoal,4,0.045859317232591755
2025-01-27,gogoal,5,0.0020385608037659366
2025-01-27,gogoal,high-low,-0.10706391127843796
2025-02-28,own,1,-0.01293817227473687
2025-02-28,own,2,0.001072034882850676
2025-02-28,own,3,0.012245252823063555
2025-02-28,own,4,0.018602446075870978
2025-02-28,own,5,0.019195338096932885
2025-02-28,own,high-low,0.032133510371669755
2025-02-28,gogoal,1,-0.018676615473967453
2025-02-28,gogoal,2,-0.004546539116989554
2025-02-28,gogoal,3,0.008148904734652553
2025-02-28,gogoal,4,0.020472877746658725
2025-02-28,gogoal,5,0.028219036693434455
2025-02-28,gogoal,high-low,0.04689565216740191
