rebalance_frequency,strategy,total_return,annual_return,annual_vol,sharpe,max_drawdown,win_rate,average_turnover
daily,cov_long_only,0.31317754180030155,0.09520533453812763,0.22365578130018926,0.42567795021736404,-0.34272835016675307,0.5310344827586206,0.04462669683022614
weekly,cov_long_only,0.3329320181915827,0.10067740113319967,0.22385598462239828,0.44974183425572906,-0.33670684824240116,0.5310344827586206,0.02491476483723585
monthly,cov_long_only,0.3370408563448928,0.1018087669148644,0.22421545851723984,0.45406667135324374,-0.32449585729715236,0.5282758620689655,0.012738050275217384
daily,cov_industry_aligned_minus_hs300,0.03362756153156443,0.01110121262645869,0.04201672845350198,0.2642093526806567,-0.11194795862339935,0.4993103448275862,0.07554774954710866
weekly,cov_industry_aligned_minus_hs300,0.023422648072092267,0.007758099947968944,0.043789554246138916,0.17716782190476404,-0.10979972710525376,0.5117241379310344,0.04086556153899553
monthly,cov_industry_aligned_minus_hs300,0.10565523724830572,0.03409387119905949,0.042229664415559955,0.8073441186640652,-0.05604826034781485,0.5117241379310344,0.01856532008698786
daily,cov_industry_aligned_minus_zz500,-0.005198269747070716,-0.0017381598091997796,0.06511008177195404,-0.02669570920349368,-0.14893474544239904,0.4979310344827586,0.07919745709197726
weekly,cov_industry_aligned_minus_zz500,0.08566131035668278,0.027814006194365026,0.06410601735703393,0.433875123445228,-0.11891676793991801,0.5186206896551724,0.04013010203430266
monthly,cov_industry_aligned_minus_zz500,0.09232591782703103,0.02991578087100133,0.0691688987478371,0.43250335645884186,-0.11709321416137486,0.5241379310344828,0.019359957352619497
daily,cov_industry_aligned_minus_zz1000,0.1473695173623999,0.04695629457419015,0.07956663497023025,0.5901505648914118,-0.15940320903445915,0.5379310344827586,0.08112684658806082
weekly,cov_industry_aligned_minus_zz1000,0.15682045611760498,0.04982700733098566,0.08035277850845081,0.620103103537923,-0.16760135066425286,0.5489655172413793,0.038756669565669546
monthly,cov_industry_aligned_minus_zz1000,0.2088080527307168,0.0653451022191962,0.08367358139997512,0.780952615220742,-0.10386677868476424,0.5503448275862068,0.019071747618279487
