factor,horizon,mean_ic,icir,mean_rank_ic,rank_icir,mean_g10_g1,monotonic_corr,adjacent_order_rate
score_level,1,0.0065463921395123754,1.6965567024082486,0.0030365738155082225,0.8040257553387815,0.0004368910310863304,0.6637088072099224,0.5555555555555556
score_level,5,0.012312257190461513,2.9452742182942764,0.010591044228700395,2.63914873759203,0.0019401733522787447,0.5838242302897965,0.5555555555555556
score_level,10,0.01599453805384506,3.8099398347582474,0.014930397324512129,3.7124867506236523,0.003121356492251879,0.581081712881549,0.5555555555555556
score_level,20,0.02235543459971169,5.653953058075529,0.01985356266707828,5.25756715545657,0.006804785588864562,0.6713666126674519,0.5555555555555556
score_bias,1,0.0044035711332073325,1.6142406015562094,0.004577293448277271,1.5449258479604417,0.0005223636466341918,0.7475721502683566,0.6666666666666666
score_bias,5,0.009413380267498564,3.371848866807421,0.009902281728658119,3.3302215567430262,0.0022497339258690015,0.4823040560802608,0.6666666666666666
score_bias,10,0.012748525490136931,4.521808386784425,0.01210510904296278,3.96167720895935,0.004029047454471594,0.7229233654253315,0.6666666666666666
score_bias,20,0.018866926558546358,6.633677855073509,0.015746517352787644,4.834025168233943,0.008360983845901305,0.5805888258064196,0.5555555555555556
score_revision_event,1,0.001712525177221621,1.3334128655060788,0.0014772295457023995,0.835520737477196,0.00032448531002057026,,0.0
score_revision_event,5,0.0026760845332292438,2.1267404626341615,0.0025089942370866564,1.4059470763113286,0.0014012557444493634,,0.0
score_revision_event,10,0.0037965346007680506,3.016167592389073,0.0028953522719958277,1.6056236756140334,0.0030566957713910967,,0.0
score_revision_event,20,0.005658577651702233,4.835761606534248,0.004536029489082789,2.443274965563823,0.007133530428441946,,0.0
