factor,horizon,mean_ic,icir,mean_rank_ic,rank_icir,mean_g10_g1,monotonic_corr,adjacent_order_rate
tper,1,0.003499229093358414,0.49133509563641786,0.00887232466923065,1.1170440292685555,0.0003734204104382802,0.386556602442047,0.5555555555555556
tper,5,0.004901404469548309,0.6545490756617421,0.014112714398117579,1.7057648085930666,0.000932039566439474,0.21446970393142784,0.6666666666666666
tper,10,0.0029228080184511944,0.3942720462074689,0.015081633970346649,1.880572862082492,0.0012287321130984611,-0.17865514744169556,0.5555555555555556
tper,20,-0.0048327688065426255,-0.6615089828685221,0.010417619627029228,1.3377014848867788,-0.0021164130267958096,-0.6149736383724261,0.5555555555555556
tp_revision60,1,0.008537256282735703,1.172318998715838,0.005268549738308439,0.7036138568945065,0.0007362478634521581,0.9327261293329836,0.7777777777777778
tp_revision60,5,0.014251074408774279,1.9075751853785583,0.01136785029480338,1.48722758060163,0.0035427880668061212,0.9364330176052773,0.7777777777777778
tp_revision60,10,0.019354039946752662,2.655444566200507,0.015063985347091614,2.0202159071243897,0.006997313432014495,0.9229758207670682,0.6666666666666666
tp_revision60,20,0.02785184253658458,3.835562258845796,0.021892774274620552,3.0091637379457596,0.015229660172068409,0.9325826626071739,0.6666666666666666
tper_revision60_equal,1,0.007761595265828121,1.7361697135048346,0.009317834636596186,1.8934037252486964,0.0006497042611663254,0.8250126581262714,0.5555555555555556
tper_revision60_equal,5,0.014323016668055386,3.1880110317675507,0.01675794051050032,3.420331546122743,0.002648032574879094,0.8635424055067052,0.7777777777777778
tper_revision60_equal,10,0.01754032891546517,4.304795346762016,0.020290457395689337,4.643281329469801,0.0042757628037607956,0.8529028530810788,0.7777777777777778
tper_revision60_equal,20,0.01883925488258054,5.201051362482664,0.02144059515577912,5.605951139037462,0.008278971463072497,0.8264597760001042,0.6666666666666666
